lat,lon
51.4998818,14.6359925
51.5098233,14.6568455
51.4030753,14.5788775
51.5074134,14.6462482
51.5121116,14.6372099
51.5468224,14.5474153
51.3454808,14.6492492
51.384074,14.6633375
51.4565855,14.9534502
51.5033323,14.6607391
51.5578604,14.6991171
51.5205297,14.7244693
51.5063024,14.6299022
51.4009681,14.5807032
51.4382069,14.6050216
51.5009926,14.6372915
51.349143,14.5980005
51.4945415,14.6340662
51.4905512,14.6250322
51.3214693,14.6269734
51.5280924,14.5241007
51.5405952,14.5199799
51.5020189,14.6467242
51.3815239,14.662364
51.4224304,14.5391213
51.5796654,14.7226724
51.4980121,14.8204119
51.449581,14.5143182
51.4995146,14.6318106
51.3760814,14.6652488
51.4548142,14.9578588
51.5184005,14.7001565
51.5011989,14.8097871
51.4692467,14.7321977
51.5280004,14.5109287
51.4968102,14.7196801
51.5338664,14.7157444
51.4022715,14.5830919
51.5111462,14.642286
51.5038682,14.6348726
51.4804976,14.7051629
51.3527867,14.5385765
51.4129121,14.5235778
51.4949063,14.6376992
51.4235306,14.538196
51.5165107,14.6171165
51.3643299,14.5180001
51.3495585,14.6087274
51.5322447,14.6830832
51.5418468,14.6328951
51.3869521,14.6189383
51.4957339,14.6858783
51.4497621,14.9515228
51.3956381,14.5783299
51.4993804,14.6332451
51.5570609,14.7087813
51.3210482,14.6269031
51.4933006,14.5158236
51.5425309,14.5323105
51.51496,14.7181398
51.4082396,14.5276033
51.5068623,14.6255921
51.5507407,14.6731619
51.5005407,14.8118241
51.3471541,14.6248033
51.5443155,14.6871348
51.3740514,14.5113675
51.5290153,14.5049503
51.3537106,14.6071961
51.5004518,14.6333643
51.4964974,14.6273442
51.5483846,14.5776751
51.5007308,14.6271428
51.4027612,14.5803593
51.5155509,14.7578149
51.4974849,14.6284563
51.5243888,14.7272917
51.4965263,14.6327391
51.3487483,14.5903609
51.5105136,14.6488155
51.5003065,14.64648
51.5225664,14.7148478
51.4858462,14.663023
51.4953414,14.6419008
51.5441287,14.5394261
51.502515,14.6440161
51.5439057,14.6277234
51.5007692,14.6276153
51.3496863,14.5055896
51.3578688,14.5541223
51.5425117,14.532379
51.4654741,14.4953161
51.414585,14.5446929
51.516594,14.6575366
51.5111689,14.6130596
51.4789324,14.8999315
51.3645464,14.5124807
51.5573803,14.6985675
51.4034828,14.5779782
51.5393768,14.5330978
51.502019,14.7118968
51.5669072,14.7096747
51.3207391,14.6291786
51.5084177,14.7852701
51.4948532,14.6480642
51.5009035,14.6277788
51.4958977,14.6376645
51.5296044,14.5482509
51.4979547,14.6242059
51.5489633,14.5207821
51.3585618,14.5612996
51.4999576,14.6345445
51.3514561,14.6045399
51.5077077,14.6437235
51.5037578,14.6556424
51.5148975,14.7624391
51.4967773,14.6375085
51.4749714,14.705406
51.5191857,14.6624814
51.3965384,14.5939394
51.5534287,14.7121699
51.4234442,14.5916633
51.5148871,14.6165097
51.5675279,14.5882284
51.5433956,14.6873678
51.5288774,14.7142361
51.3509061,14.598756
51.5061722,14.6395811
51.3664885,14.5157497
51.334063,14.4867031
51.5484192,14.7184233
51.5424467,14.727854
51.3290921,14.6508108
51.3657725,14.5151968
51.5218343,14.7071338
51.4984793,14.6456705
51.5399163,14.6222149
51.5140449,14.6140526
51.5320704,14.5319027
51.3482642,14.6051363
51.3408375,14.6411737
51.5473205,14.5496581
51.5127516,14.7644066
51.5032489,14.7125138
51.3553299,14.6112191
51.5038297,14.7799434
51.4052185,14.6425294
51.5112481,14.6112723
51.5282727,14.6818337
51.5226494,14.7039859
51.5089968,14.6063338
51.5440406,14.5481221
51.4679264,14.7173546
51.5528017,14.708131
51.539489,14.5444122
51.5169697,14.6253771
51.539156,14.5946993
51.4679264,14.7173546
51.5466672,14.5460738
51.3646676,14.5215493
51.5450085,14.6097884
51.50159,14.6362503
51.4380773,14.6041529
51.5503485,14.7156751
51.5423959,14.5286868
51.581728,14.7268005
51.3862248,14.6176393
51.5341073,14.6949199
51.543019,14.6892864
51.5495108,14.712414
51.3566964,14.5616766
51.500011,14.6306563
51.5614525,14.708595
51.5439066,14.6869896
51.5127147,14.7182761
51.3815535,14.6671886
51.4992404,14.6227008
51.4714214,14.9358552
51.4074629,14.5842575
51.5070412,14.6236181
51.3604908,14.5629954
51.3804546,14.6590639
51.4386439,14.6028752
51.5565601,14.7069955
51.5781081,14.5710077
51.512003,14.6364971
51.5306069,14.7171756
51.5132085,14.7182335
51.4970251,14.6379947
51.5099566,14.6418573
51.3665442,14.5041378
51.4180224,14.5830398
51.3649512,14.5068686
51.5346475,14.6677653
51.4736402,14.6738564
51.5224502,14.7317779
51.4957793,14.6282583
51.5443347,14.5397038
51.3582101,14.5440105
51.5189392,14.7228537
51.5079039,14.7247443
51.5424467,14.727854
51.4993356,14.6353647
51.5142724,14.5730057
51.4926497,14.627641
51.3505423,14.5992854
51.5471094,14.5464998
51.516594,14.6575366
51.5286105,14.5742229
51.4003572,14.5154241
51.4959668,14.6492476
51.5096351,14.722138
51.3804619,14.6632347
51.5087678,14.6458612
51.4959668,14.6492476
51.4937884,14.645027
51.5427756,14.5364717
51.5727114,14.5688439
51.5081422,14.616786
51.3286724,14.6069944
51.5057571,14.7334236
51.5068815,14.6457011
51.3620981,14.6231601
51.3451922,14.6087175
51.5051208,14.6450947
51.5166081,14.7183601
51.5351811,14.5287484
51.377267,14.6674024
51.4081645,14.5806964
51.5080215,14.632015
51.3609966,14.4746645
51.4689341,14.5625605
51.5511911,14.7150917
51.5017686,14.6437116
51.5029305,14.6371594
51.4926435,14.6276107
51.5016993,14.80919
51.4954994,14.6386835
51.5488619,14.7125637
51.3416233,14.6476928
51.3340516,14.5945063
51.5790631,14.5714344
51.4922556,14.512422
51.5252112,14.7362541
51.379273,14.6635783
51.5295273,14.5483204
51.4944066,14.6433048
51.5466505,14.7207304
51.5346318,14.699367
51.5090738,14.723058
51.5067206,14.6335087
51.5068128,14.6427638
51.5797646,14.573757
51.5820928,14.7270508
51.4002874,14.5720275
51.5438452,14.722839
51.5677963,14.5866225
51.4876276,14.6220496
51.3654684,14.5036139
51.5784179,14.7079638
51.5035942,14.7126904
51.4125044,14.5239985
51.5096961,14.7420915
51.5034702,14.4758164
51.5072687,14.641549
51.5165197,14.7630561
51.363869,14.6271942
51.5019669,14.6466965
51.3425052,14.6440901
